date,ММВБ,MICEXCBITR,S&P500,NASDAQ Composite,S&P500 Bond Index,NAREIT,"Депозит в $ ф.л. более 1 года, % годовых"
1/1/10,"-6,11%","1,97%","2,85%","4,23%","0,37%","5,06%","0,42%"
1/2/10,"2,16%","4,63%","8,90%","11,67%","0,74%","14,95%","0,81%"
1/3/10,"1,17%","5,64%","10,51%","14,62%","2,34%","22,52%","1,20%"
1/4/10,"-6,12%","5,55%","1,45%","5,11%","1,94%","16,00%","1,63%"
1/5/10,"-7,76%","7,50%","-4,02%","-1,77%","3,95%","10,75%","2,02%"
1/6/10,"-1,57%","8,31%","2,58%","5,00%","5,77%","20,71%","2,37%"
1/7/10,"-3,56%","8,99%","-2,29%","-1,55%","7,75%","19,01%","2,75%"
1/8/10,"1,47%","9,92%","6,27%","10,30%","8,35%","24,31%","3,13%"
1/9/10,"7,32%","10,57%","10,19%","16,77%","8,53%","29,98%","3,53%"
1/10/10,"10,29%","10,87%","9,93%","16,34%","7,87%","27,86%","3,93%"
1/11/10,"18,92%","11,11%","17,11%","23,54%","7,08%","33,84%","4,34%"
1/12/10,"21,42%","12,13%","19,76%","25,74%","7,43%","38,71%","4,74%"
1/1/11,"25,25%","13,10%","23,59%","29,57%","8,15%","44,94%","5,14%"
1/2/11,"27,77%","14,14%","23,46%","29,51%","8,03%","42,94%","5,53%"
1/3/11,"22,71%","15,14%","26,98%","33,82%","9,71%","49,93%","5,92%"
1/4/11,"17,39%","15,67%","25,27%","32,04%","11,13%","51,19%","6,34%"
1/5/11,"17,41%","16,64%","22,98%","29,16%","10,30%","47,13%","6,74%"
1/6/11,"20,13%","17,81%","20,34%","28,36%","12,69%","47,70%","7,12%"
1/7/11,"8,92%","17,38%","13,50%","20,12%","12,73%","40,23%","7,48%"
1/8/11,"-3,73%","16,69%","5,36%","12,48%","12,95%","25,63%","7,85%"
1/9/11,"5,58%","17,11%","16,71%","25,01%","14,84%","42,35%","8,26%"
1/10/11,"5,65%","17,46%","16,12%","22,03%","13,10%","37,33%","8,67%"
1/11/11,"-1,21%","17,98%","17,11%","21,32%","15,40%","43,58%","9,12%"
1/12/11,"6,67%","18,99%","22,21%","31,04%","17,68%","52,87%","9,54%"
1/1/12,"12,56%","20,19%","27,17%","38,17%","18,59%","51,86%","9,98%"
1/2/12,"6,90%","21,21%","31,16%","43,97%","17,62%","58,53%","10,41%"
1/3/12,"3,81%","21,86%","30,17%","41,87%","19,17%","62,97%","10,85%"
1/4/12,"-7,96%","21,28%","22,02%","31,67%","19,91%","56,53%","11,25%"
1/5/12,"-2,25%","21,49%","26,85%","36,68%","20,47%","65,74%","11,64%"
1/6/12,"-0,87%","22,86%","28,44%","36,89%","23,61%","69,55%","12,07%"
1/7/12,"0,25%","23,89%","30,98%","42,83%","24,12%","70,32%","12,47%"
1/8/12,"2,74%","24,74%","34,16%","45,12%","24,87%","68,80%","12,86%"
1/9/12,"0,44%","25,75%","31,50%","38,65%","26,27%","68,24%","13,27%"
1/10/12,"-0,95%","26,64%","31,88%","40,18%","26,02%","67,16%","13,68%"
1/11/12,"3,90%","28,09%","32,81%","40,62%","25,98%","72,51%","14,10%"
1/12/12,"8,97%","29,86%","39,51%","46,33%","25,10%","79,89%","14,50%"
1/1/13,"4,69%","30,66%","41,05%","47,17%","26,02%","82,22%","14,92%"
1/2/13,"1,35%","31,22%","46,12%","52,17%","26,19%","88,22%","15,33%"
1/3/13,"-2,36%","32,61%","48,77%","55,02%","28,30%","99,14%","15,73%"
1/4/13,"-4,88%","33,33%","51,86%","60,94%","25,51%","86,08%","16,10%"
