date,val
1/7/2008,100.39
1/8/2008,100.40
1/9/2008,100.81
1/10/2008,103.92
1/11/2008,105.06
1/12/2008,106.88
1/1/2009,107.34
1/2/2009,108.74
1/3/2009,109.36
1/4/2009,117.52
1/5/2009,117.34
1/6/2009,119.44
1/7/2009,120.02
1/8/2009,121.98
1/9/2009,133.54
1/10/2009,142.89
1/11/2009,150.69
1/12/2009,163.62
1/1/2010,174.35
1/2/2010,158.77
1/3/2010,121.19
1/4/2010,118.40
1/5/2010,121.33
1/6/2010,122.67
1/7/2010,123.64
1/8/2010,124.07
1/9/2010,124.49
1/10/2010,120.19
1/11/2010,120.38
1/12/2010,117.50
1/1/2011,118.75
1/2/2011,120.50
1/3/2011,125.09
1/4/2011,123.66
1/5/2011,121.55
1/6/2011,123.90
1/7/2011,123.00
1/8/2011,122.34
1/9/2011,119.65
1/10/2011,121.89
1/11/2011,120.56
1/12/2011,122.04
1/1/2012,121.26
1/2/2012,127.17
1/3/2012,132.75
1/4/2012,132.30
1/5/2012,130.33
1/6/2012,132.35
1/7/2012,132.39
1/8/2012,134.07
1/9/2012,137.73
1/10/2012,138.10
1/11/2012,138.91
1/12/2012,138.12
1/1/2013,140.00
1/2/2013,143.75
1/3/2013,143.70
1/4/2013,134.89
1/5/2013,137.26
1/6/2013,146.00
1/7/2013,143.85
1/8/2013,141.43
1/9/2013,131.76
1/10/2013,135.00
1/11/2013,136.49
1/12/2013,131.85
1/1/2014,135.25
1/2/2014,135.03
1/3/2014,134.01
1/4/2014,126.39
1/5/2014,125.00
1/6/2014,127.79
1/7/2014,124.03
1/8/2014,119.90
1/9/2014,117.05
1/10/2014,122.06
1/11/2014,122.22
1/12/2014,127.57
1/1/2015,132.51
1/2/2015,131.07
1/3/2015,135.30
1/4/2015,132.25
1/5/2015,126.82
1/6/2015,134.08
1/7/2015,93.25
1/8/2015,95.36
1/9/2015,98.85
1/10/2015,99.92
1/11/2015,99.80
1/12/2015,99.47
1/1/2016,100.39
1/2/2016,100.40
1/3/2016,100.81
1/4/2016,103.93
1/5/2016,105.07
1/6/2016,106.89
1/7/2016,107.35
1/8/2016,108.75
1/9/2016,109.37
1/10/2016,107.16
1/11/2016,107.02
1/12/2016,109.45
1/1/2017,110.03
1/2/2017,111.99
1/3/2017,113.55
1/4/2017,112.90
1/5/2017,110.70
1/6/2017,113.63
1/7/2017,114.36
1/8/2017,118.78
1/9/2017,121.20
1/10/2017,118.41
